Phyla,Receptor,Sequences
Tunicata,PTGER2,0
Cephalochordata,PTGER2,0
Hemichordata,PTGER2,0
Echinodermata,PTGER2,0
Annelida,PTGER2,0
Mollusca,PTGER2,0
Arthropoda,PTGER2,0
Cnidaria,PTGER2,0
Placozoa,PTGER2,0
Mammalia,PTGER3,257
Archosauria,PTGER3,299
Lepidosauria,PTGER3,27
Testudines,PTGER3,18
Amphibia,PTGER3,22
Dipnomorpha,PTGER3,1
Coelacanthiformes,PTGER3,1
Actinopterygii,PTGER3,235
Chondrichthyes,PTGER3,21
Cyclostomata,PTGER3,1
Tunicata,PTGER3,0
Cephalochordata,PTGER3,0
Hemichordata,PTGER3,0
Echinodermata,PTGER3,0
Annelida,PTGER3,0
Mollusca,PTGER3,0
Arthropoda,PTGER3,0
Cnidaria,PTGER3,0
Placozoa,PTGER3,0
Mammalia,PTGER4,250
Archosauria,PTGER4,401
Lepidosauria,PTGER4,32
Testudines,PTGER4,16
Amphibia,PTGER4,25
Dipnomorpha,PTGER4,3
Coelacanthiformes,PTGER4,3
Actinopterygii,PTGER4,767
Chondrichthyes,PTGER4,32
Cyclostomata,PTGER4,4
Tunicata,PTGER4,0
Cephalochordata,PTGER4,0
Hemichordata,PTGER4,0
Echinodermata,PTGER4,0
Annelida,PTGER4,0
Mollusca,PTGER4,0
Arthropoda,PTGER4,0
Cnidaria,PTGER4,0
Placozoa,PTGER4,0
Mammalia,PTGFR,219
Archosauria,PTGFR,372
Lepidosauria,PTGFR,26
Testudines,PTGFR,15
Amphibia,PTGFR,11
Dipnomorpha,PTGFR,1
Coelacanthiformes,PTGFR,1
Actinopterygii,PTGFR,171
Chondrichthyes,PTGFR,10
Cyclostomata,PTGFR,0
Tunicata,PTGFR,0
Cephalochordata,PTGFR,0
Hemichordata,PTGFR,0
Echinodermata,PTGFR,0
Annelida,PTGFR,0
Mollusca,PTGFR,0
Arthropoda,PTGFR,0
Cnidaria,PTGFR,0
Placozoa,PTGFR,0
Mammalia,PTGIR,199
Archosauria,PTGIR,1
Lepidosauria,PTGIR,17
Testudines,PTGIR,13
Amphibia,PTGIR,9
Dipnomorpha,PTGIR,0
Coelacanthiformes,PTGIR,0
Actinopterygii,PTGIR,190
Chondrichthyes,PTGIR,6
Cyclostomata,PTGIR,0
Tunicata,PTGIR,0
Cephalochordata,PTGIR,0
Hemichordata,PTGIR,0
Echinodermata,PTGIR,0
Annelida,PTGIR,0
Mollusca,PTGIR,0
Arthropoda,PTGIR,0
Cnidaria,PTGIR,0
Placozoa,PTGIR,0
Mammalia,S1PR1,255
Archosauria,S1PR1,391
Lepidosauria,S1PR1,30
Testudines,S1PR1,18
Amphibia,S1PR1,21
Dipnomorpha,S1PR1,1
Coelacanthiformes,S1PR1,2
Actinopterygii,S1PR1,215
Chondrichthyes,S1PR1,17
Cyclostomata,S1PR1,0
Tunicata,S1PR1,0
Cephalochordata,S1PR1,0
Hemichordata,S1PR1,0
Echinodermata,S1PR1,0
Annelida,S1PR1,0
Mollusca,S1PR1,0
Arthropoda,S1PR1,0
Cnidaria,S1PR1,0
Placozoa,S1PR1,0
Mammalia,S1PR2,253
Archosauria,S1PR2,181
Lepidosauria,S1PR2,31
Testudines,S1PR2,16
Amphibia,S1PR2,26
Dipnomorpha,S1PR2,1
Coelacanthiformes,S1PR2,1
Actinopterygii,S1PR2,273
Chondrichthyes,S1PR2,20
Cyclostomata,S1PR2,0
Tunicata,S1PR2,0
Cephalochordata,S1PR2,0
Hemichordata,S1PR2,0
Echinodermata,S1PR2,0
Annelida,S1PR2,0
Mollusca,S1PR2,0
Arthropoda,S1PR2,0
Cnidaria,S1PR2,0
Placozoa,S1PR2,0
Mammalia,S1PR3,255
Archosauria,S1PR3,431
Lepidosauria,S1PR3,32
Testudines,S1PR3,16
Amphibia,S1PR3,25
Dipnomorpha,S1PR3,2
Coelacanthiformes,S1PR3,2
Actinopterygii,S1PR3,503
Chondrichthyes,S1PR3,37
Cyclostomata,S1PR3,0
Tunicata,S1PR3,0
Cephalochordata,S1PR3,0
Hemichordata,S1PR3,0
Echinodermata,S1PR3,0
Annelida,S1PR3,0
Mollusca,S1PR3,0
Arthropoda,S1PR3,0
Cnidaria,S1PR3,0
Placozoa,S1PR3,0
Mammalia,S1PR4,238
Archosauria,S1PR4,426
Lepidosauria,S1PR4,32
Testudines,S1PR4,19
Amphibia,S1PR4,26
Dipnomorpha,S1PR4,1
Coelacanthiformes,S1PR4,1
Actinopterygii,S1PR4,276
Chondrichthyes,S1PR4,19
Cyclostomata,S1PR4,0
Tunicata,S1PR4,0
Cephalochordata,S1PR4,0
Hemichordata,S1PR4,0
Echinodermata,S1PR4,0
Annelida,S1PR4,0
Mollusca,S1PR4,0
Arthropoda,S1PR4,0
Cnidaria,S1PR4,0
Placozoa,S1PR4,0
Mammalia,S1PR5,249
Archosauria,S1PR5,18
Lepidosauria,S1PR5,21
Testudines,S1PR5,14
Amphibia,S1PR5,23
Dipnomorpha,S1PR5,1
Coelacanthiformes,S1PR5,1
Actinopterygii,S1PR5,484
Chondrichthyes,S1PR5,18
Cyclostomata,S1PR5,0
Tunicata,S1PR5,0
Cephalochordata,S1PR5,0
Hemichordata,S1PR5,0
Echinodermata,S1PR5,0
Annelida,S1PR5,0
Mollusca,S1PR5,0
Arthropoda,S1PR5,0
Cnidaria,S1PR5,0
Placozoa,S1PR5,0
Cyclostomata,S1PR1|S1PR5,3
Mammalia,TBXA2R,233
Archosauria,TBXA2R,386
Lepidosauria,TBXA2R,29
Testudines,TBXA2R,14
Amphibia,TBXA2R,21
Dipnomorpha,TBXA2R,1
Coelacanthiformes,TBXA2R,1
Actinopterygii,TBXA2R,284
Chondrichthyes,TBXA2R,18
Cyclostomata,TBXA2R,1
Tunicata,TBXA2R,0
Cephalochordata,TBXA2R,0
Hemichordata,TBXA2R,0
Echinodermata,TBXA2R,0
Annelida,TBXA2R,0
Mollusca,TBXA2R,0
Arthropoda,TBXA2R,0
Cnidaria,TBXA2R,0
Placozoa,TBXA2R,0
